,County,Region,FIPS Code,B01001A_001E,B01001A_002E,B01001A_003E,B01001A_004E,B01001A_005E,B01001A_006E,B01001A_007E,B01001A_008E,B01001A_009E,B01001A_010E,B01001A_011E,B01001A_012E,B01001A_013E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_017E,B01001A_018E,B01001A_019E,B01001A_020E,B01001A_021E,B01001A_022E,B01001A_023E,B01001A_024E,B01001A_025E,B01001A_026E,B01001A_027E,B01001A_028E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_001E,B01001B_002E,B01001B_003E,B01001B_004E,B01001B_005E,B01001B_006E,B01001B_007E,B01001B_008E,B01001B_009E,B01001B_010E,B01001B_011E,B01001B_012E,B01001B_013E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_017E,B01001B_018E,B01001B_019E,B01001B_020E,B01001B_021E,B01001B_022E,B01001B_023E,B01001B_024E,B01001B_025E,B01001B_026E,B01001B_027E,B01001B_028E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_001E,B01001C_002E,B01001C_003E,B01001C_004E,B01001C_005E,B01001C_006E,B01001C_007E,B01001C_008E,B01001C_009E,B01001C_010E,B01001C_011E,B01001C_012E,B01001C_013E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_017E,B01001C_018E,B01001C_019E,B01001C_020E,B01001C_021E,B01001C_022E,B01001C_023E,B01001C_024E,B01001C_025E,B01001C_026E,B01001C_027E,B01001C_028E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_001E,B01001D_002E,B01001D_003E,B01001D_004E,B01001D_005E,B01001D_006E,B01001D_007E,B01001D_008E,B01001D_009E,B01001D_010E,B01001D_011E,B01001D_012E,B01001D_013E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_017E,B01001D_018E,B01001D_019E,B01001D_020E,B01001D_021E,B01001D_022E,B01001D_023E,B01001D_024E,B01001D_025E,B01001D_026E,B01001D_027E,B01001D_028E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_001E,B01001E_002E,B01001E_003E,B01001E_004E,B01001E_005E,B01001E_006E,B01001E_007E,B01001E_008E,B01001E_009E,B01001E_010E,B01001E_011E,B01001E_012E,B01001E_013E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_017E,B01001E_018E,B01001E_019E,B01001E_020E,B01001E_021E,B01001E_022E,B01001E_023E,B01001E_024E,B01001E_025E,B01001E_026E,B01001E_027E,B01001E_028E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_001E,B01001F_002E,B01001F_003E,B01001F_004E,B01001F_005E,B01001F_006E,B01001F_007E,B01001F_008E,B01001F_009E,B01001F_010E,B01001F_011E,B01001F_012E,B01001F_013E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_017E,B01001F_018E,B01001F_019E,B01001F_020E,B01001F_021E,B01001F_022E,B01001F_023E,B01001F_024E,B01001F_025E,B01001F_026E,B01001F_027E,B01001F_028E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_001E,B01001G_002E,B01001G_003E,B01001G_004E,B01001G_005E,B01001G_006E,B01001G_007E,B01001G_008E,B01001G_009E,B01001G_010E,B01001G_011E,B01001G_012E,B01001G_013E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_017E,B01001G_018E,B01001G_019E,B01001G_020E,B01001G_021E,B01001G_022E,B01001G_023E,B01001G_024E,B01001G_025E,B01001G_026E,B01001G_027E,B01001G_028E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_001E,B01001H_002E,B01001H_003E,B01001H_004E,B01001H_005E,B01001H_006E,B01001H_007E,B01001H_008E,B01001H_009E,B01001H_010E,B01001H_011E,B01001H_012E,B01001H_013E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_017E,B01001H_018E,B01001H_019E,B01001H_020E,B01001H_021E,B01001H_022E,B01001H_023E,B01001H_024E,B01001H_025E,B01001H_026E,B01001H_027E,B01001H_028E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_001E,B01001I_002E,B01001I_003E,B01001I_004E,B01001I_005E,B01001I_006E,B01001I_007E,B01001I_008E,B01001I_009E,B01001I_010E,B01001I_011E,B01001I_012E,B01001I_013E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_017E,B01001I_018E,B01001I_019E,B01001I_020E,B01001I_021E,B01001I_022E,B01001I_023E,B01001I_024E,B01001I_025E,B01001I_026E,B01001I_027E,B01001I_028E,B01001I_029E,B01001I_030E,B01001I_031E
0,Alameda,Bay Area,001,631037.0,314747.0,14893.0,14588.0,14790.0,8798.0,6325.0,16637.0,24375.0,27116.0,45649.0,45744.0,45666.0,30946.0,13863.0,5357.0,316290.0,14012.0,13325.0,14450.0,8358.0,6618.0,16574.0,24054.0,25114.0,42773.0,42799.0,45417.0,34981.0,17800.0,10015.0,171922.0,81039.0,3870.0,4218.0,4725.0,2973.0,2101.0,5654.0,7375.0,6607.0,10980.0,10698.0,10918.0,6879.0,2959.0,1082.0,90883.0,4029.0,4324.0,4988.0,2880.0,2142.0,5680.0,7270.0,6656.0,12190.0,12515.0,12789.0,8691.0,4470.0,2259.0,11037.0,5051.0,178.0,356.0,243.0,144.0,148.0,293.0,408.0,374.0,912.0,820.0,614.0,406.0,126.0,29.0,5986.0,334.0,429.0,538.0,180.0,112.0,332.0,449.0,493.0,733.0,811.0,862.0,464.0,142.0,107.0,519249.0,248588.0,14771.0,15027.0,13990.0,7641.0,5479.0,13846.0,20240.0,22687.0,42944.0,33819.0,27859.0,18490.0,8563.0,3232.0,270661.0,13993.0,14492.0,13253.0,7351.0,5668.0,13835.0,21103.0,25139.0,46823.0,37233.0,32403.0,22326.0,10828.0,6214.0,13648.0,6470.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alpine,Sierras,003,663.0,360.0,13.0,0.0,17.0,14.0,0.0,0.0,8.0,29.0,29.0,29.0,84.0,130.0,4.0,3.0,303.0,22.0,6.0,6.0,8.0,4.0,0.0,3.0,4.0,52.0,5.0,69.0,110.0,7.0,7.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,170.0,9.0,8.0,31.0,1.0,0.0,9.0,18.0,4.0,22.0,8.0,13.0,24.0,23.0,0.0,190.0,17.0,14.0,7.0,19.0,1.0,14.0,5.0,22.0,42.0,2.0,20.0,22.0,2.0,3.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Amador,Sierras,005,33040.0,17534.0,674.0,704.0,722.0,421.0,311.0,656.0,913.0,953.0,2313.0,2374.0,2856.0,2894.0,1304.0,439.0,15506.0,665.0,628.0,663.0,337.0,270.0,478.0,664.0,722.0,1467.0,1727.0,2873.0,3044.0,1232.0,736.0,931.0,866.0,0.0,0.0,0.0,38.0,28.0,66.0,114.0,66.0,178.0,200.0,99.0,77.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,13.0,0.0,43.0,0.0,0.0,276.0,209.0,14.0,0.0,0.0,0.0,0.0,6.0,19.0,2.0,16.0,48.0,80.0,17.0,7.0,0.0,67.0,0.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,5.0,16.0,17.0,8.0,5.0,0.0,375.0,221.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,6.0,16.0,95.0,13.0,36.0,5.0,6.0,154.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,55.0,18.0,24.0,26.0,11.0,30.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Butte,Far North,007,178568.0,87260.0,4604.0,4930.0,4421.0,2835.0,2807.0,8928.0,6125.0,5068.0,9921.0,9355.0,11677.0,10213.0,4694.0,1682.0,91308.0,4269.0,4658.0,4296.0,2714.0,2979.0,8742.0,5719.0,5061.0,9927.0,9677.0,12890.0,11561.0,6042.0,2773.0,3866.0,2014.0,85.0,44.0,81.0,48.0,196.0,258.0,236.0,38.0,374.0,251.0,225.0,105.0,37.0,36.0,1852.0,64.0,171.0,135.0,56.0,202.0,258.0,101.0,141.0,134.0,243.0,183.0,82.0,48.0,34.0,2628.0,1341.0,20.0,115.0,71.0,11.0,24.0,98.0,45.0,187.0,183.0,187.0,159.0,171.0,69.0,1.0,1287.0,77.0,96.0,52.0,57.0,65.0,111.0,64.0,98.0,133.0,139.0,180.0,114.0,85.0,16.0,10743.0,5297.0,418.0,275.0,546.0,342.0,167.0,772.0,631.0,331.0,468.0,628.0,299.0,255.0,160.0,5.0,5446.0,336.0,328.0,366.0,260.0,244.0,904.0,447.0,383.0,583.0,589.0,422.0,329.0,193.0,62.0,717.0,313.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Calaveras,Sierras,009,40058.0,20110.0,778.0,1196.0,619.0,700.0,415.0,919.0,901.0,918.0,1962.0,2259.0,3677.0,3588.0,1642.0,536.0,19948.0,737.0,893.0,861.0,620.0,246.0,795.0,826.0,848.0,1767.0,2494.0,3865.0,3555.0,1814.0,627.0,450.0,260.0,0.0,0.0,0.0,20.0,0.0,7.0,7.0,6.0,17.0,71.0,2.0,25.0,6.0,99.0,190.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,152.0,22.0,0.0,0.0,518.0,239.0,32.0,15.0,8.0,0.0,2.0,0.0,37.0,0.0,12.0,78.0,13.0,42.0,0.0,0.0,279.0,0.0,0.0,12.0,0.0,37.0,0.0,0.0,18.0,0.0,61.0,87.0,64.0,0.0,0.0,864.0,345.0,0.0,0.0,15.0,11.0,0.0,0.0,95.0,0.0,5.0,74.0,45.0,4.0,96.0,0.0,519.0,30.0,0.0,67.0,27.0,0.0,0.0,55.0,35.0,94.0,32.0,34.0,96.0,39.0,10.0,18.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Colusa,Far North,011,17012.0,8477.0,669.0,766.0,644.0,333.0,174.0,506.0,476.0,657.0,976.0,904.0,1093.0,805.0,365.0,109.0,8535.0,600.0,584.0,706.0,350.0,298.0,448.0,593.0,514.0,1016.0,952.0,1078.0,754.0,356.0,286.0,330.0,219.0,0.0,0.0,0.0,0.0,0.0,14.0,66.0,11.0,11.0,27.0,0.0,39.0,5.0,46.0,111.0,16.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,25.0,0.0,15.0,38.0,0.0,0.0,239.0,161.0,10.0,8.0,15.0,0.0,0.0,8.0,0.0,3.0,84.0,2.0,25.0,4.0,2.0,0.0,78.0,2.0,0.0,4.0,0.0,0.0,9.0,4.0,25.0,3.0,14.0,4.0,13.0,0.0,0.0,201.0,74.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,14.0,24.0,0.0,1.0,8.0,127.0,24.0,0.0,0.0,8.0,0.0,13.0,0.0,0.0,38.0,9.0,30.0,0.0,1.0,4.0,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Contra Costa,Bay Area,013,608789.0,300282.0,14340.0,16058.0,17361.0,11227.0,6270.0,15223.0,17524.0,17959.0,38251.0,43641.0,46862.0,33335.0,15995.0,6236.0,308507.0,14167.0,15167.0,16406.0,10343.0,6135.0,14938.0,16399.0,18126.0,36327.0,44740.0,47463.0,37585.0,20036.0,10675.0,98569.0,46642.0,2419.0,2811.0,3464.0,2376.0,1438.0,3570.0,3940.0,2949.0,5872.0,6186.0,6263.0,3411.0,1549.0,394.0,51927.0,2243.0,2654.0,3248.0,1980.0,1220.0,3354.0,3509.0,3985.0,6687.0,7738.0,7191.0,4923.0,2467.0,728.0,5191.0,2726.0,136.0,100.0,221.0,82.0,78.0,206.0,140.0,302.0,377.0,453.0,345.0,205.0,47.0,34.0,2465.0,118.0,62.0,138.0,147.0,44.0,137.0,246.0,167.0,210.0,471.0,339.0,292.0,70.0,24.0,200159.0,95186.0,5373.0,5595.0,6622.0,3882.0,1927.0,5256.0,6406.0,6206.0,14875.0,14928.0,11265.0,7853.0,3706.0,1292.0,104973.0,4345.0,5058.0,6645.0,3587.0,1428.0,4854.0,6333.0,6912.0,17992.0,16762.0,13863.0,10334.0,4913.0,1947.0,5676.0,3016.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Del Norte,Far North,015,20002.0,10844.0,484.0,588.0,398.0,337.0,121.0,527.0,1041.0,966.0,1683.0,1139.0,1524.0,1313.0,446.0,277.0,9158.0,470.0,489.0,452.0,256.0,142.0,341.0,534.0,486.0,1128.0,969.0,1709.0,1237.0,714.0,231.0,747.0,570.0,22.0,0.0,19.0,2.0,0.0,89.0,93.0,47.0,162.0,52.0,53.0,31.0,0.0,0.0,177.0,0.0,0.0,18.0,35.0,53.0,0.0,24.0,0.0,0.0,26.0,21.0,0.0,0.0,0.0,1943.0,900.0,102.0,66.0,162.0,21.0,26.0,28.0,60.0,19.0,82.0,89.0,164.0,44.0,37.0,0.0,1043.0,107.0,141.0,93.0,71.0,52.0,13.0,46.0,47.0,109.0,67.0,142.0,96.0,57.0,2.0,880.0,392.0,12.0,13.0,97.0,0.0,1.0,0.0,51.0,40.0,37.0,59.0,54.0,28.0,0.0,0.0,488.0,0.0,39.0,54.0,37.0,28.0,26.0,53.0,3.0,29.0,95.0,43.0,55.0,0.0,26.0,50.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,El Dorado,Sacramento Metro,017,164552.0,82376.0,3649.0,4197.0,5077.0,3067.0,1619.0,4022.0,4300.0,4273.0,9265.0,10861.0,14145.0,11247.0,4923.0,1731.0,82176.0,3383.0,4009.0,4640.0,2904.0,1493.0,3820.0,3780.0,3977.0,9073.0,11154.0,14701.0,11438.0,5170.0,2634.0,1586.0,957.0,5.0,23.0,50.0,59.0,43.0,102.0,45.0,99.0,150.0,92.0,149.0,88.0,48.0,4.0,629.0,0.0,11.0,18.0,54.0,7.0,110.0,35.0,37.0,130.0,89.0,74.0,25.0,5.0,34.0,1312.0,729.0,1.0,14.0,179.0,13.0,2.0,62.0,43.0,9.0,30.0,95.0,81.0,152.0,48.0,0.0,583.0,10.0,1.0,66.0,13.0,16.0,4.0,8.0,112.0,63.0,123.0,86.0,47.0,32.0,2.0,9111.0,4028.0,210.0,135.0,336.0,176.0,152.0,261.0,182.0,182.0,647.0,637.0,528.0,344.0,232.0,6.0,5083.0,170.0,191.0,256.0,209.0,54.0,364.0,275.0,306.0,770.0,887.0,779.0,545.0,157.0,120.0,479.0,147.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fresno,San Joaquin Valley,019,597574.0,295324.0,21719.0,22495.0,24702.0,13036.0,7646.0,20101.0,22622.0,20721.0,37404.0,33681.0,32472.0,23458.0,10463.0,4804.0,302250.0,20862.0,21883.0,23008.0,12188.0,7959.0,19578.0,22141.0,20394.0,36914.0,33568.0,35175.0,26400.0,14109.0,8071.0,46182.0,23229.0,1809.0,1867.0,1903.0,1090.0,675.0,1997.0,1917.0,1594.0,3053.0,2842.0,2389.0,1367.0,531.0,195.0,22953.0,1841.0,1856.0,1641.0,1020.0,544.0,1722.0,1853.0,1731.0,2776.0,2648.0,2677.0,1560.0,596.0,488.0,11604.0,5727.0,329.0,559.0,365.0,295.0,138.0,495.0,472.0,509.0,764.0,770.0,459.0,391.0,139.0,42.0,5877.0,487.0,481.0,403.0,307.0,135.0,525.0,441.0,286.0,818.0,754.0,626.0,441.0,106.0,67.0,105302.0,52426.0,4386.0,3655.0,4613.0,2559.0,1231.0,3967.0,5440.0,4917.0,6684.0,5360.0,4684.0,3033.0,1476.0,421.0,52876.0,3743.0,4234.0,3719.0,2081.0,1181.0,3710.0,5043.0,4956.0,6942.0,5738.0,5243.0,3558.0,1774.0,954.0,1518.0,770.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Glenn,Far North,021,22478.0,11568.0,852.0,794.0,1059.0,476.0,345.0,768.0,783.0,717.0,1203.0,1305.0,1392.0,1110.0,541.0,223.0,10910.0,764.0,554.0,1020.0,465.0,171.0,628.0,741.0,537.0,1363.0,1182.0,1464.0,1098.0,605.0,318.0,218.0,158.0,0.0,0.0,0.0,2.0,4.0,0.0,27.0,0.0,74.0,13.0,38.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,30.0,0.0,0.0,631.0,287.0,16.0,26.0,39.0,1.0,8.0,8.0,37.0,2.0,15.0,22.0,19.0,66.0,28.0,0.0,344.0,3.0,41.0,54.0,11.0,2.0,7.0,11.0,13.0,56.0,69.0,4.0,73.0,0.0,0.0,877.0,491.0,86.0,60.0,12.0,60.0,0.0,0.0,0.0,34.0,10.0,112.0,10.0,1.0,106.0,0.0,386.0,0.0,0.0,11.0,46.0,0.0,23.0,54.0,4.0,98.0,54.0,5.0,0.0,59.0,32.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Humboldt,Far North,023,107151.0,53156.0,2427.0,2463.0,2520.0,1559.0,1718.0,4226.0,3283.0,3370.0,7406.0,6320.0,7560.0,6787.0,2374.0,1143.0,53995.0,2299.0,2810.0,2037.0,1522.0,1654.0,4662.0,3320.0,3090.0,6758.0,5806.0,8117.0,7246.0,3174.0,1500.0,1558.0,871.0,0.0,0.0,1.0,37.0,70.0,80.0,91.0,175.0,135.0,127.0,144.0,0.0,11.0,0.0,687.0,0.0,8.0,37.0,21.0,82.0,109.0,69.0,73.0,63.0,125.0,64.0,36.0,0.0,0.0,6162.0,2713.0,160.0,238.0,270.0,44.0,110.0,300.0,249.0,141.0,441.0,295.0,169.0,188.0,88.0,20.0,3449.0,224.0,266.0,183.0,107.0,56.0,408.0,250.0,276.0,346.0,391.0,529.0,211.0,184.0,18.0,3948.0,1845.0,132.0,111.0,148.0,105.0,114.0,258.0,184.0,98.0,250.0,154.0,134.0,135.0,22.0,0.0,2103.0,90.0,114.0,142.0,129.0,26.0,316.0,235.0,183.0,265.0,157.0,221.0,146.0,59.0,20.0,508.0,237.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
