,County,Region,FIPS Code,B01001A_001E,B01001A_002E,B01001A_003E,B01001A_004E,B01001A_005E,B01001A_006E,B01001A_007E,B01001A_008E,B01001A_009E,B01001A_010E,B01001A_011E,B01001A_012E,B01001A_013E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_017E,B01001A_018E,B01001A_019E,B01001A_020E,B01001A_021E,B01001A_022E,B01001A_023E,B01001A_024E,B01001A_025E,B01001A_026E,B01001A_027E,B01001A_028E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_001E,B01001B_002E,B01001B_003E,B01001B_004E,B01001B_005E,B01001B_006E,B01001B_007E,B01001B_008E,B01001B_009E,B01001B_010E,B01001B_011E,B01001B_012E,B01001B_013E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_017E,B01001B_018E,B01001B_019E,B01001B_020E,B01001B_021E,B01001B_022E,B01001B_023E,B01001B_024E,B01001B_025E,B01001B_026E,B01001B_027E,B01001B_028E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_001E,B01001C_002E,B01001C_003E,B01001C_004E,B01001C_005E,B01001C_006E,B01001C_007E,B01001C_008E,B01001C_009E,B01001C_010E,B01001C_011E,B01001C_012E,B01001C_013E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_017E,B01001C_018E,B01001C_019E,B01001C_020E,B01001C_021E,B01001C_022E,B01001C_023E,B01001C_024E,B01001C_025E,B01001C_026E,B01001C_027E,B01001C_028E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_001E,B01001D_002E,B01001D_003E,B01001D_004E,B01001D_005E,B01001D_006E,B01001D_007E,B01001D_008E,B01001D_009E,B01001D_010E,B01001D_011E,B01001D_012E,B01001D_013E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_017E,B01001D_018E,B01001D_019E,B01001D_020E,B01001D_021E,B01001D_022E,B01001D_023E,B01001D_024E,B01001D_025E,B01001D_026E,B01001D_027E,B01001D_028E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_001E,B01001E_002E,B01001E_003E,B01001E_004E,B01001E_005E,B01001E_006E,B01001E_007E,B01001E_008E,B01001E_009E,B01001E_010E,B01001E_011E,B01001E_012E,B01001E_013E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_017E,B01001E_018E,B01001E_019E,B01001E_020E,B01001E_021E,B01001E_022E,B01001E_023E,B01001E_024E,B01001E_025E,B01001E_026E,B01001E_027E,B01001E_028E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_001E,B01001F_002E,B01001F_003E,B01001F_004E,B01001F_005E,B01001F_006E,B01001F_007E,B01001F_008E,B01001F_009E,B01001F_010E,B01001F_011E,B01001F_012E,B01001F_013E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_017E,B01001F_018E,B01001F_019E,B01001F_020E,B01001F_021E,B01001F_022E,B01001F_023E,B01001F_024E,B01001F_025E,B01001F_026E,B01001F_027E,B01001F_028E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_001E,B01001G_002E,B01001G_003E,B01001G_004E,B01001G_005E,B01001G_006E,B01001G_007E,B01001G_008E,B01001G_009E,B01001G_010E,B01001G_011E,B01001G_012E,B01001G_013E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_017E,B01001G_018E,B01001G_019E,B01001G_020E,B01001G_021E,B01001G_022E,B01001G_023E,B01001G_024E,B01001G_025E,B01001G_026E,B01001G_027E,B01001G_028E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_001E,B01001H_002E,B01001H_003E,B01001H_004E,B01001H_005E,B01001H_006E,B01001H_007E,B01001H_008E,B01001H_009E,B01001H_010E,B01001H_011E,B01001H_012E,B01001H_013E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_017E,B01001H_018E,B01001H_019E,B01001H_020E,B01001H_021E,B01001H_022E,B01001H_023E,B01001H_024E,B01001H_025E,B01001H_026E,B01001H_027E,B01001H_028E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_001E,B01001I_002E,B01001I_003E,B01001I_004E,B01001I_005E,B01001I_006E,B01001I_007E,B01001I_008E,B01001I_009E,B01001I_010E,B01001I_011E,B01001I_012E,B01001I_013E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_017E,B01001I_018E,B01001I_019E,B01001I_020E,B01001I_021E,B01001I_022E,B01001I_023E,B01001I_024E,B01001I_025E,B01001I_026E,B01001I_027E,B01001I_028E,B01001I_029E,B01001I_030E,B01001I_031E
12,Imperial,San Diego,025,102305.0,48985.0,4323.0,3917.0,4456.0,2328.0,1494.0,3193.0,3648.0,3248.0,5243.0,5297.0,5072.0,3958.0,2161.0,647.0,53320.0,4573.0,4113.0,4863.0,2505.0,1633.0,3017.0,3923.0,2873.0,6315.0,5664.0,5937.0,4110.0,2928.0,866.0,4716.0,3683.0,67.0,49.0,35.0,0.0,7.0,435.0,509.0,596.0,627.0,845.0,284.0,189.0,40.0,0.0,1033.0,13.0,135.0,143.0,42.0,43.0,113.0,59.0,71.0,74.0,40.0,78.0,115.0,107.0,0.0,2111.0,1092.0,29.0,96.0,127.0,110.0,2.0,66.0,103.0,100.0,159.0,67.0,110.0,119.0,4.0,0.0,1019.0,42.0,40.0,69.0,104.0,47.0,47.0,28.0,51.0,115.0,116.0,94.0,197.0,55.0,14.0,2599.0,1498.0,39.0,58.0,116.0,190.0,40.0,62.0,96.0,61.0,114.0,199.0,242.0,191.0,42.0,48.0,1101.0,7.0,53.0,47.0,27.0,10.0,39.0,82.0,98.0,91.0,231.0,176.0,87.0,78.0,75.0,241.0,153.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Inyo,Sierras,027,13705.0,7179.0,264.0,568.0,362.0,316.0,199.0,225.0,269.0,362.0,765.0,835.0,1218.0,1054.0,565.0,177.0,6526.0,246.0,464.0,187.0,134.0,43.0,172.0,427.0,319.0,765.0,790.0,1154.0,932.0,638.0,255.0,96.0,55.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,13.0,5.0,11.0,0.0,5.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1924.0,853.0,29.0,85.0,116.0,39.0,29.0,65.0,72.0,55.0,83.0,83.0,73.0,70.0,27.0,27.0,1071.0,68.0,61.0,53.0,31.0,30.0,102.0,79.0,76.0,128.0,132.0,135.0,93.0,48.0,35.0,279.0,171.0,22.0,0.0,0.0,0.0,0.0,3.0,1.0,23.0,2.0,65.0,33.0,6.0,9.0,7.0,108.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,4.0,0.0,11.0,29.0,27.0,8.0,13.0,37.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Kern,San Joaquin Valley,029,603368.0,307554.0,23247.0,23156.0,26019.0,13372.0,8425.0,21917.0,24740.0,23225.0,40568.0,35257.0,33391.0,21214.0,9847.0,3176.0,295814.0,21897.0,22260.0,24812.0,13412.0,7499.0,19794.0,22134.0,20334.0,36101.0,33526.0,33683.0,23120.0,12004.0,5238.0,48530.0,26333.0,1897.0,2156.0,1845.0,1099.0,764.0,3056.0,2859.0,2291.0,3418.0,2786.0,2373.0,1245.0,399.0,145.0,22197.0,1802.0,1933.0,1636.0,1144.0,767.0,1861.0,1935.0,1536.0,2754.0,2264.0,2330.0,1305.0,716.0,214.0,8462.0,4293.0,345.0,359.0,310.0,220.0,149.0,246.0,325.0,481.0,505.0,314.0,590.0,366.0,53.0,30.0,4169.0,228.0,432.0,537.0,240.0,126.0,207.0,196.0,284.0,402.0,470.0,473.0,345.0,196.0,33.0,43381.0,21367.0,1403.0,1485.0,1880.0,942.0,505.0,1414.0,1593.0,1461.0,2728.0,2602.0,2596.0,1741.0,801.0,216.0,22014.0,1178.0,1289.0,1058.0,836.0,440.0,1069.0,1722.0,1552.0,3268.0,3269.0,2959.0,2177.0,816.0,381.0,1380.0,671.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kings,San Joaquin Valley,031,95764.0,50610.0,3826.0,3231.0,4046.0,1890.0,1032.0,4711.0,4376.0,4646.0,7087.0,5785.0,4686.0,3175.0,1698.0,421.0,45154.0,3600.0,3403.0,3719.0,1953.0,1186.0,3057.0,3558.0,3468.0,5562.0,4675.0,4604.0,3384.0,2159.0,826.0,9820.0,6921.0,230.0,353.0,204.0,203.0,146.0,660.0,780.0,709.0,1517.0,1244.0,561.0,243.0,21.0,50.0,2899.0,300.0,251.0,223.0,33.0,59.0,270.0,307.0,269.0,349.0,276.0,247.0,220.0,92.0,3.0,2232.0,1305.0,151.0,115.0,92.0,86.0,77.0,48.0,76.0,128.0,169.0,168.0,107.0,74.0,14.0,0.0,927.0,36.0,59.0,86.0,68.0,38.0,63.0,78.0,44.0,85.0,209.0,52.0,74.0,35.0,0.0,5626.0,2699.0,119.0,160.0,255.0,87.0,84.0,183.0,284.0,207.0,345.0,259.0,366.0,187.0,80.0,83.0,2927.0,144.0,81.0,162.0,160.0,103.0,145.0,207.0,257.0,361.0,376.0,462.0,240.0,103.0,126.0,190.0,139.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Lake,Far North,033,48712.0,24249.0,1059.0,1262.0,1195.0,670.0,519.0,1091.0,1269.0,1332.0,2597.0,2911.0,4123.0,3864.0,1942.0,415.0,24463.0,1038.0,1205.0,1143.0,795.0,398.0,903.0,1213.0,1357.0,2372.0,3182.0,4376.0,3864.0,1921.0,696.0,1583.0,970.0,0.0,130.0,44.0,93.0,46.0,20.0,62.0,31.0,133.0,97.0,134.0,85.0,68.0,27.0,613.0,2.0,83.0,53.0,17.0,0.0,12.0,17.0,52.0,168.0,21.0,68.0,71.0,21.0,28.0,2540.0,1249.0,110.0,43.0,158.0,56.0,5.0,144.0,123.0,105.0,211.0,86.0,123.0,25.0,4.0,56.0,1291.0,169.0,120.0,49.0,59.0,44.0,112.0,57.0,36.0,170.0,159.0,210.0,78.0,2.0,26.0,940.0,354.0,31.0,0.0,26.0,0.0,0.0,0.0,37.0,65.0,23.0,27.0,38.0,69.0,17.0,21.0,586.0,31.0,45.0,38.0,2.0,0.0,25.0,7.0,0.0,104.0,90.0,83.0,109.0,31.0,21.0,15.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lassen,Far North,035,24181.0,15208.0,535.0,522.0,637.0,351.0,288.0,1524.0,1940.0,1424.0,2391.0,1910.0,1676.0,1306.0,532.0,172.0,8973.0,520.0,642.0,464.0,298.0,163.0,423.0,494.0,504.0,956.0,1111.0,1451.0,1171.0,609.0,167.0,2713.0,2476.0,2.0,20.0,17.0,16.0,50.0,512.0,613.0,359.0,526.0,215.0,73.0,52.0,11.0,10.0,237.0,3.0,30.0,32.0,0.0,26.0,28.0,6.0,20.0,40.0,0.0,11.0,28.0,5.0,8.0,794.0,493.0,20.0,19.0,55.0,7.0,14.0,47.0,77.0,55.0,83.0,24.0,28.0,32.0,32.0,0.0,301.0,6.0,4.0,4.0,2.0,2.0,3.0,73.0,11.0,16.0,80.0,69.0,13.0,1.0,17.0,471.0,348.0,12.0,1.0,12.0,3.0,12.0,66.0,61.0,25.0,81.0,24.0,45.0,5.0,0.0,1.0,123.0,0.0,10.0,5.0,3.0,0.0,0.0,0.0,22.0,20.0,21.0,16.0,4.0,0.0,22.0,256.0,109.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Los Angeles,South Coast,037,4795186.0,2396768.0,129236.0,131509.0,144044.0,85620.0,58270.0,154619.0,198117.0,193648.0,333436.0,331708.0,304344.0,195767.0,93017.0,43433.0,2398418.0,121696.0,125807.0,136764.0,80257.0,57229.0,152879.0,191819.0,178753.0,315838.0,315566.0,304828.0,220412.0,124177.0,72393.0,810286.0,383240.0,21412.0,22199.0,22089.0,15008.0,9599.0,28395.0,35984.0,30199.0,47699.0,51518.0,51034.0,29038.0,14559.0,4507.0,427046.0,20588.0,21788.0,21699.0,14282.0,9850.0,27426.0,35903.0,31539.0,53011.0,59123.0,60183.0,39204.0,22332.0,10118.0,78132.0,39452.0,1894.0,2235.0,2519.0,1658.0,1161.0,3420.0,3642.0,2917.0,6195.0,5041.0,4630.0,2413.0,1375.0,352.0,38680.0,2088.0,2356.0,2638.0,1452.0,1090.0,2756.0,3103.0,2915.0,5741.0,5023.0,4409.0,2942.0,1576.0,591.0,1488626.0,694508.0,40375.0,31909.0,34179.0,20380.0,14886.0,43056.0,57119.0,55196.0,97114.0,94276.0,92167.0,66534.0,32854.0,14463.0,794118.0,37938.0,29488.0,31444.0,19573.0,14559.0,41790.0,58596.0,60008.0,115063.0,115282.0,116292.0,84812.0,44410.0,24863.0,25068.0,12091.0,788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Madera,San Joaquin Valley,039,94643.0,45761.0,3111.0,3304.0,3497.0,2107.0,1203.0,2919.0,2605.0,2483.0,5337.0,5444.0,5925.0,4675.0,2255.0,896.0,48882.0,2609.0,3376.0,3546.0,1935.0,1153.0,3135.0,3022.0,2911.0,6136.0,5974.0,6285.0,5079.0,2368.0,1353.0,4919.0,1463.0,0.0,279.0,39.0,43.0,32.0,121.0,111.0,78.0,104.0,163.0,347.0,117.0,29.0,0.0,3456.0,115.0,82.0,278.0,19.0,15.0,405.0,429.0,483.0,524.0,428.0,346.0,280.0,52.0,0.0,2503.0,1194.0,86.0,51.0,108.0,53.0,115.0,38.0,4.0,200.0,170.0,106.0,84.0,67.0,76.0,36.0,1309.0,30.0,161.0,105.0,38.0,18.0,140.0,43.0,115.0,120.0,176.0,115.0,180.0,65.0,3.0,3362.0,1755.0,151.0,112.0,100.0,66.0,113.0,149.0,64.0,138.0,208.0,176.0,221.0,150.0,104.0,3.0,1607.0,74.0,37.0,87.0,100.0,5.0,73.0,145.0,64.0,241.0,269.0,220.0,96.0,177.0,19.0,159.0,110.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Marin,Bay Area,041,199068.0,96503.0,3905.0,4496.0,5864.0,3519.0,1666.0,4074.0,3408.0,3979.0,10466.0,15747.0,16096.0,13798.0,7410.0,2075.0,102565.0,3757.0,4392.0,5561.0,3488.0,1742.0,3896.0,3042.0,3761.0,10819.0,16155.0,17331.0,15910.0,8403.0,4308.0,6001.0,3494.0,116.0,5.0,224.0,105.0,75.0,297.0,311.0,387.0,607.0,644.0,401.0,248.0,64.0,10.0,2507.0,304.0,169.0,172.0,40.0,83.0,118.0,131.0,228.0,141.0,394.0,319.0,270.0,81.0,57.0,673.0,413.0,27.0,59.0,9.0,61.0,0.0,30.0,43.0,12.0,59.0,61.0,19.0,33.0,0.0,0.0,260.0,0.0,27.0,0.0,0.0,0.0,32.0,28.0,0.0,13.0,93.0,67.0,0.0,0.0,0.0,15060.0,6245.0,130.0,272.0,319.0,170.0,144.0,393.0,402.0,513.0,996.0,1040.0,729.0,655.0,229.0,253.0,8815.0,131.0,208.0,277.0,200.0,213.0,400.0,408.0,585.0,1286.0,1692.0,1526.0,1138.0,534.0,217.0,361.0,171.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mariposa,Sierras,043,15134.0,7691.0,333.0,413.0,313.0,241.0,108.0,295.0,375.0,429.0,752.0,934.0,1351.0,1249.0,628.0,270.0,7443.0,323.0,315.0,312.0,236.0,44.0,326.0,361.0,418.0,664.0,849.0,1397.0,1187.0,810.0,201.0,266.0,158.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,12.0,97.0,9.0,5.0,10.0,0.0,108.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,10.0,0.0,0.0,392.0,148.0,15.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,24.0,16.0,6.0,10.0,244.0,0.0,19.0,20.0,0.0,0.0,0.0,45.0,15.0,35.0,23.0,51.0,14.0,22.0,0.0,186.0,150.0,22.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,12.0,23.0,10.0,33.0,17.0,11.0,36.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,18.0,5.0,5.0,0.0,62.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mendocino,Far North,045,69709.0,34399.0,1897.0,1821.0,2016.0,1063.0,644.0,1798.0,1862.0,1863.0,4131.0,4074.0,5132.0,5402.0,1936.0,760.0,35310.0,1690.0,2025.0,1547.0,1058.0,608.0,1316.0,1918.0,1941.0,4055.0,4049.0,5731.0,5850.0,2508.0,1014.0,424.0,299.0,13.0,0.0,4.0,3.0,35.0,15.0,52.0,7.0,61.0,36.0,70.0,3.0,0.0,0.0,125.0,0.0,0.0,14.0,7.0,43.0,32.0,0.0,6.0,6.0,7.0,3.0,3.0,0.0,4.0,3789.0,1753.0,64.0,154.0,80.0,143.0,56.0,140.0,117.0,145.0,196.0,226.0,240.0,140.0,45.0,7.0,2036.0,130.0,148.0,132.0,126.0,146.0,111.0,124.0,94.0,302.0,303.0,183.0,165.0,68.0,4.0,1740.0,710.0,0.0,20.0,60.0,21.0,34.0,104.0,18.0,67.0,65.0,125.0,54.0,139.0,3.0,0.0,1030.0,0.0,13.0,30.0,44.0,70.0,35.0,51.0,116.0,80.0,241.0,142.0,138.0,59.0,11.0,137.0,68.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Merced,San Joaquin Valley,047,139469.0,68855.0,4930.0,5000.0,5692.0,3455.0,2141.0,4599.0,4918.0,4623.0,8200.0,8122.0,8126.0,5597.0,2683.0,769.0,70614.0,4895.0,4662.0,5758.0,2993.0,1775.0,4736.0,4811.0,4512.0,8736.0,8287.0,8425.0,6050.0,3201.0,1773.0,8190.0,4414.0,276.0,131.0,377.0,172.0,186.0,367.0,323.0,379.0,567.0,546.0,557.0,336.0,158.0,39.0,3776.0,143.0,188.0,291.0,81.0,170.0,372.0,256.0,266.0,404.0,429.0,537.0,357.0,216.0,66.0,2885.0,1388.0,125.0,52.0,146.0,87.0,40.0,67.0,123.0,172.0,206.0,114.0,166.0,23.0,67.0,0.0,1497.0,20.0,166.0,197.0,11.0,76.0,77.0,97.0,149.0,114.0,219.0,169.0,148.0,48.0,6.0,20881.0,10336.0,805.0,967.0,598.0,475.0,646.0,920.0,1119.0,895.0,1150.0,912.0,843.0,636.0,209.0,161.0,10545.0,769.0,569.0,932.0,450.0,356.0,1076.0,995.0,807.0,1202.0,1116.0,958.0,750.0,374.0,191.0,744.0,315.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Modoc,Far North,049,7801.0,3971.0,186.0,257.0,203.0,98.0,56.0,99.0,268.0,161.0,411.0,444.0,702.0,638.0,389.0,59.0,3830.0,183.0,265.0,176.0,158.0,9.0,146.0,166.0,200.0,403.0,390.0,664.0,619.0,320.0,131.0,123.0,78.0,19.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,19.0,0.0,0.0,0.0,6.0,0.0,45.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,19.0,0.0,0.0,9.0,10.0,0.0,0.0,313.0,126.0,46.0,6.0,3.0,5.0,1.0,8.0,22.0,7.0,6.0,17.0,3.0,1.0,1.0,0.0,187.0,35.0,26.0,5.0,5.0,18.0,12.0,45.0,10.0,12.0,6.0,8.0,3.0,1.0,1.0,169.0,121.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,28.0,7.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Mono,Sierras,051,11966.0,6295.0,218.0,205.0,324.0,239.0,12.0,712.0,286.0,491.0,927.0,713.0,1135.0,664.0,330.0,39.0,5671.0,184.0,187.0,319.0,273.0,221.0,162.0,408.0,415.0,694.0,801.0,1002.0,679.0,315.0,11.0,81.0,59.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,407.0,180.0,0.0,66.0,7.0,27.0,3.0,16.0,8.0,3.0,10.0,21.0,4.0,7.0,8.0,0.0,227.0,3.0,5.0,2.0,28.0,0.0,8.0,4.0,59.0,66.0,23.0,15.0,12.0,2.0,0.0,633.0,305.0,17.0,0.0,218.0,0.0,2.0,5.0,13.0,4.0,19.0,15.0,12.0,0.0,0.0,0.0,328.0,0.0,238.0,0.0,0.0,5.0,2.0,1.0,4.0,18.0,4.0,15.0,41.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Monterey,Central Coast,053,209849.0,105724.0,6345.0,6013.0,6038.0,3785.0,2792.0,7283.0,7774.0,7175.0,12824.0,13228.0,13849.0,11241.0,5321.0,2056.0,104125.0,6206.0,5369.0,6183.0,3557.0,2976.0,6200.0,6480.0,6246.0,11392.0,12063.0,15126.0,12207.0,6265.0,3855.0,11162.0,7183.0,228.0,263.0,326.0,102.0,153.0,457.0,563.0,705.0,1116.0,1409.0,1101.0,456.0,203.0,101.0,3979.0,228.0,138.0,282.0,130.0,199.0,318.0,223.0,207.0,481.0,501.0,621.0,321.0,173.0,157.0,3072.0,1593.0,81.0,151.0,122.0,62.0,27.0,182.0,56.0,76.0,256.0,252.0,233.0,33.0,41.0,21.0,1479.0,91.0,71.0,170.0,62.0,93.0,110.0,109.0,103.0,79.0,174.0,127.0,189.0,48.0,53.0,25186.0,11679.0,491.0,535.0,638.0,384.0,350.0,783.0,819.0,809.0,1537.0,1752.0,1614.0,1115.0,473.0,379.0,13507.0,519.0,596.0,446.0,362.0,364.0,761.0,802.0,716.0,1815.0,1903.0,2157.0,1544.0,877.0,645.0,2104.0,1012.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
